2016-08-28 11:08:20 HKT LOG:  database system was interrupted; last known up at 2016-08-28 01:46:35 HKT
2016-08-28 11:08:23 HKT LOG:  database system was not properly shut down; automatic recovery in progress
2016-08-28 11:08:23 HKT LOG:  invalid record length at 0/18A94A8
2016-08-28 11:08:23 HKT LOG:  redo is not required
2016-08-28 11:08:23 HKT LOG:  MultiXact member wraparound protections are now enabled
2016-08-28 11:08:23 HKT 日志:  数据库系统准备接受连接
2016-08-28 11:08:23 HKT LOG:  autovacuum launcher started
2016-08-28 11:09:41 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:42 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:42 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:42 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:43 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:43 HKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2016-08-28 11:09:45 HKT 日志:  统计收集器进程 (PID 952) 被异常 0xC000013A 终止
2016-08-28 11:09:45 HKT 提示:  关于对16进制值的描述， 参见C语言的引用文件 "ntstatus.h" 
2016-08-28 11:09:45 HKT 日志:  WAL写入进程 (PID 788) 被异常 0xC000013A 终止
2016-08-28 11:09:45 HKT 提示:  关于对16进制值的描述， 参见C语言的引用文件 "ntstatus.h" 
2016-08-28 11:09:45 HKT 日志:  中断任何其它已激活的服务器进程
